,open,high,low,close,volume,Year,Month,Weekday,Day,rsi,sma_50,sma_200,macd,volatility
2011-10-04,4.85,4.87,4.83,4.87,30.0,2011,10,1,4,29.33491135726338,,,-1.0403649025493094,0.040000000000000036
2011-10-05,4.86,5.3,4.8,4.98,142.0,2011,10,2,5,31.314947901911097,,,-0.9916718326521723,0.5
2011-10-06,4.92,6.25,4.8,4.92,113.0,2011,10,3,6,30.807871683116574,,,-0.9470072128449889,1.4500000000000002
2011-10-07,4.88,4.99,4.8,4.8,170.0,2011,10,4,7,29.769604115805976,,,-0.9107941094308707,0.1900000000000004
2011-10-08,4.8,4.81,4.59,4.61,94.0,2011,10,5,8,28.15185332547253,,,-0.8871992949676057,0.21999999999999975
2011-10-09,4.57,4.57,3.99,3.99,56.0,2011,10,6,9,23.637785147535496,,,-0.9080614854027385,0.5800000000000001
2011-10-10,3.89,3.89,3.89,3.89,11.0,2011,10,0,10,22.997268570631462,,,-0.9220354353402049,0.0
2011-10-11,3.99,4.51,3.99,4.51,132.0,2011,10,1,11,34.794594224818624,,,-0.8730174709283602,0.5199999999999996
2011-10-12,3.98,4.1,3.98,4.1,78.0,2011,10,2,12,31.371708083702842,,,-0.8573707185153383,0.11999999999999966
2011-10-13,3.95,3.99,3.93,3.93,79.0,2011,10,3,13,30.05163338574019,,,-0.8489025139921402,0.06000000000000005
2011-10-14,3.93,3.97,3.93,3.97,109.0,2011,10,4,14,30.789584430625055,,,-0.8294028949042547,0.040000000000000036
2011-10-15,4.05,4.05,4.05,4.05,96.0,2011,10,5,15,32.32730742992767,,,-0.7982917643379128,0.0
2011-10-18,3.92,3.92,3.92,3.92,10.0,2011,10,1,18,31.117411100243558,,,-0.7751899752692646,0.0
2011-10-21,2.22,2.29,2.22,2.24,61.0,2011,10,4,21,20.460271882249927,,,-0.8822733032038648,0.06999999999999984
2011-10-22,2.22,2.27,2.22,2.27,41.0,2011,10,5,22,20.98070745671896,,,-0.9537229384437507,0.04999999999999982
2011-10-25,2.99,2.99,2.92,2.92,64.0,2011,10,1,25,31.446858955223377,,,-0.9469815080653845,0.07000000000000028
2011-10-26,2.66,2.72,2.66,2.72,130.0,2011,10,2,26,30.124716734443865,,,-0.9468623645146375,0.06000000000000005
2011-10-27,2.72,3.0,2.67,2.69,268.0,2011,10,3,27,29.921499657534596,,,-0.9383717265245681,0.33000000000000007
2011-10-29,3.07,4.36,3.07,4.2,118.0,2011,10,5,29,48.685255559232836,5.9936,,-0.8005699819280809,1.2900000000000005
2011-10-30,3.69,4.4,3.69,3.95,88.0,2011,10,6,30,46.46692309216664,5.8546000000000005,,-0.7034253674216808,0.7100000000000004
2011-10-31,3.85,3.85,3.2,3.5,116.0,2011,10,0,31,42.6957934811999,5.6908,,-0.6551961068548815,0.6499999999999999
2011-11-01,3.25,3.55,3.2,3.3,68.0,2011,11,1,1,41.09931067195746,5.5228,,-0.6258974427999258,0.34999999999999964
2011-11-02,3.32,3.33,3.32,3.33,38.0,2011,11,2,2,41.452949644123414,5.3553999999999995,,-0.5934167522406306,0.010000000000000231
2011-11-05,3.27,3.55,3.21,3.55,117.0,2011,11,5,5,44.10335087969319,5.1924,,-0.5436564761358769,0.33999999999999986
2011-11-06,3.21,3.21,3.0,3.0,103.0,2011,11,6,6,39.3120151402526,5.0424,,-0.5423496333058178,0.20999999999999996
2011-11-07,2.95,2.95,2.95,2.95,203.0,2011,11,0,7,38.89829413563138,4.9014,,-0.5391337349824852,0.0
2011-11-09,3.08,3.08,3.08,3.08,47.0,2011,11,2,9,40.64725896407478,4.803,,-0.5200998119658289,0.0
2011-11-10,3.09,3.3,3.09,3.3,58.0,2011,11,3,10,43.58997299651687,4.7046,,-0.4817102732836531,0.20999999999999996
2011-11-11,3.25,3.3,2.95,3.3,121.0,2011,11,4,11,43.58997299651687,4.593,,-0.44614342362344495,0.34999999999999964
2011-11-12,3.3,3.3,3.3,3.3,65.0,2011,11,5,12,43.58997299651687,4.4812,,-0.41319340268027993,0.0
2011-11-13,3.35,3.35,3.35,3.35,2.0,2011,11,6,13,44.372853425826364,4.3882,,-0.37868049849198515,0.0
2011-11-14,3.35,3.35,3.35,3.35,29.0,2011,11,0,14,44.372853425826364,4.2852,,-0.3473250265667742,0.0
2011-11-15,2.95,2.95,2.47,2.47,183.0,2011,11,1,15,34.577594150430414,4.186599999999999,,-0.38900008387247187,0.48
2011-11-16,2.99,3.0,2.5,2.5,97.0,2011,11,2,16,35.10354218618046,4.1171999999999995,,-0.41482527026442906,0.5
2011-11-17,2.51,3.0,2.51,3.0,5.0,2011,11,3,17,43.28692643965149,4.066599999999999,,-0.39044528501294895,0.4900000000000002
2011-11-18,3.0,3.0,2.5,2.99,17.0,2011,11,4,18,43.16967843943762,4.0238,,-0.3676923588471124,0.5
2011-11-19,2.5,2.79,2.5,2.5,88.0,2011,11,5,19,37.770994778923566,3.9768,,-0.38476408496963765,0.29000000000000004
2011-11-20,2.5,2.5,2.43,2.43,48.0,2011,11,6,20,37.05801395302368,3.928,,-0.3993386386557227,0.06999999999999984
2011-11-21,2.37,2.37,2.37,2.37,11.0,2011,11,0,21,36.42335951431247,3.877,,-0.410992905633075,0.0
2011-11-22,2.45,3.0,2.25,2.25,290.0,2011,11,1,22,35.127617458161325,3.824,,-0.4250127113203668,0.75
2011-11-23,2.53,2.59,2.46,2.59,328.0,2011,11,2,23,41.479849355421386,3.7626,,-0.40403093274123236,0.1299999999999999
2011-11-25,2.54,3.0,2.54,3.0,9.0,2011,11,4,25,48.081846835560825,3.7094,,-0.350281323509817,0.45999999999999996
2011-11-26,2.5,15.0,2.5,2.75,179.0,2011,11,5,26,44.765540883476504,3.65,,-0.32412101629420853,12.5
2011-11-27,2.77,2.77,2.77,2.77,10.0,2011,11,6,27,45.091816931300045,3.591,,-0.29833592071167514,0.0
2011-11-29,2.67,2.78,2.66,2.66,180.0,2011,11,1,29,43.56746667517525,3.5306,,-0.2835090119708106,0.11999999999999966
2011-11-30,2.69,3.23,2.69,2.72,62.0,2011,11,2,30,44.66627065317738,3.464,,-0.26387529131092213,0.54
2011-12-01,3.19,3.19,3.19,3.19,14.0,2011,12,3,1,52.47289571983852,3.4318,,-0.20799274331458895,0.0
2011-12-02,3.46,3.48,3.3,3.42,233.0,2011,12,4,2,55.76204147213625,3.4018,,-0.14349225421986,0.18000000000000016
2011-12-03,3.45,3.45,3.04,3.04,131.0,2011,12,5,3,49.64855668164395,3.3662,,-0.12163583394085675,0.41000000000000014
2011-12-04,2.93,2.93,2.93,2.93,0.0,2011,12,6,4,48.00775774777381,3.3284000000000002,,-0.11190062336396389,0.0
2011-12-06,2.82,2.99,2.82,2.93,207.0,2011,12,1,6,48.00775774777381,3.2895999999999996,,-0.10299810085085515,0.17000000000000037
2011-12-07,2.9,3.25,2.89,2.98,216.0,2011,12,2,7,48.898050608653584,3.2496000000000005,,-0.09086081853031835,0.3599999999999999
2011-12-08,3.05,3.35,3.05,3.3,233.0,2011,12,3,8,54.29249272918123,3.2171999999999996,,-0.05478903530448109,0.30000000000000027
